,Date,UserName,Tweet,Source of Tweet,Number of Likes,Retweet,Replies,Quote,Media,Location,Coordinates
129,2016-08-23 16:57:41+00:00,SATodayNews,Man fined R20000 for buying a stolen car with no papers https://t.co/lG5r2TKkjI via @SATodayNews #Goodwood #CarThieves #Crime #SouthAfrica,Twitter Web Client,1,0,0,0,,South Africa,
130,2016-07-14 08:31:41+00:00,stanis_wheels,"Man Uses Facebook To Find Stolen Car: A Lucky man in Durban, South Africa used Facebook to trace his stolen c... https://t.co/oRjDilLJUh",twitterfeed,0,0,0,0,,"Abuja, Nigeria",
131,2016-01-15 08:25:04+00:00,allafrica,South African Rapper Recovers Stolen Car Six Years Later https://t.co/VLuZH5injV #SouthAfrica https://t.co/Lg7DwryELO,allAfrica.com,0,3,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/CYv1krhWkAA2OpZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/CYv1krhWkAA2OpZ?format=jpg&name=large')]",Africa,
132,2015-12-16 21:53:10+00:00,bopheloselemix,This is the most stolen Car in SOUTH AFRICA....you can see the reason why they steal it that much...BMW... https://t.co/1iF7VGdaIv,Twitter for Android,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/CWYO1f0WIAULVI7?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/CWYO1f0WIAULVI7?format=jpg&name=large')]",Gaborone,"Coordinates(longitude=25.5452513, latitude=-24.3800032)"
133,2015-10-13 06:55:24+00:00,GFI_SA,The most stolen car in South Africa...... http://t.co/eqVMfUPY1r,Facebook,0,0,0,0,,Centurion ,
134,2015-09-29 11:09:57+00:00,_econorisk,The most stolen car in South Africa... http://t.co/um8GaRfCdV via @Fin24@BrettNSchultz,Twitter Web Client,0,2,0,0,,South Africa,
135,2015-09-19 06:55:05+00:00,alexandrejevic,"So according to statistics throughout South Africa , The Toyota Hilux is the most stolen car in the country currently.",Twitter for iPhone,0,7,2,0,,JHB || CPT,
136,2015-09-17 10:34:32+00:00,brokerforlife,The most stolen car in South Africa... http://t.co/FA1k3t9pXI,Facebook,0,0,0,0,,Pretoria,
137,2015-09-16 09:46:32+00:00,masesebe,I was thinking about #Golf  #Polo The most stolen car in South Africa... http://t.co/2tOjTnoPtZ (via ),Mobile Web (M2),0,0,0,0,,+27|+267|+254|+263|+233,
138,2015-09-16 06:48:02+00:00,SAItmuststop,The most stolen car in South Africa... http://t.co/0h0kK0UYft,Facebook,0,0,0,0,,South Africa,
139,2015-09-16 06:25:44+00:00,JoannePillar9,The most stolen car in South Africa... http://t.co/8MRrNd3eE4 via @Fin24,Twitter Web Client,0,0,0,0,,South Africa,
140,2015-09-15 12:14:33+00:00,TmanMjaji,The most stolen car in South Africa... http://t.co/wvKNuckUtI,Facebook,0,0,0,0,,"Pretoria, South Africa",
141,2015-09-15 11:02:24+00:00,TialTech,The most stolen #car in South Africa... http://t.co/X0y5D9KSaP @Fin24 @News24 @News24_Africa #insurance @InsuranceSharer #insurancenews,Hootsuite,0,2,0,0,,South Africa,
142,2015-09-15 10:30:12+00:00,ViralDotcoms,"The Most Stolen Car In South Africa...

Although car theft numbers have been falling in recent years, vehicle... http://t.co/R7aZ6gyPkC",Facebook,0,0,0,0,,,
143,2015-09-15 07:15:31+00:00,kane48,The most stolen car in South Africa... http://t.co/mVoVfBKjc7 via @Fin24,Mobile Web,0,0,0,0,,Cape Town,
144,2015-09-15 06:56:14+00:00,AyandaFelemZA,"Beware and be careful
The most stolen car in South Africa... http://t.co/K8vMJXTraY",Twitter Web Client,0,0,1,0,,"Qonce. Cape Town, South Africa",
145,2015-09-15 03:50:27+00:00,leoniepragtig,The most stolen car in South Africa... http://t.co/n1mpFdsHvM via @Fin24,Twitter Web Client,0,0,0,0,,"Howick, South Africa KZN",
146,2015-09-15 02:50:00+00:00,TonyK67,The most stolen car in South Africa... http://t.co/UzGVZYdZk8 via @Fin24,Twitter Web Client,0,0,0,0,,,
147,2015-09-14 20:41:45+00:00,qsure_sa,The most stolen car in South Africa... http://t.co/oGIsvrU1Tf via @Fin24,Mobile Web,0,0,0,0,,"Johannesburg, South Africa",
148,2015-09-14 19:05:40+00:00,MasilelaZee,The most stolen car in South Africa... http://t.co/CzuE7op7Vl (via ),Twitter for Android,0,0,0,0,,"Pretoria, South Africa",
149,2015-09-14 19:02:27+00:00,mua_insurance,The most stolen car in South Africa... http://t.co/yxCPXoccxi,Hootsuite,0,0,0,0,,"Cape Town, South Africa",
150,2015-09-14 18:31:36+00:00,pmungwari,The most stolen car in South Africa... http://t.co/u2h1tIeEIH (via ),Twitter for Android,0,0,0,0,,"Pretoria, South Africa",
151,2015-09-14 15:27:19+00:00,AjithS,The most stolen car in #SouthAfrica... | http://t.co/FPPs5f21Pi,Twitter Web Client,0,0,0,0,,Pretoria | South Africa,
152,2015-09-14 14:19:15+00:00,natfleetsol,The most stolen car in South Africa... http://t.co/upEb7IeaBi,Facebook,0,0,0,0,,,
153,2015-09-14 13:31:13+00:00,stephmoyo,"The most stolen car in South Africa... http://t.co/eq6wLVCXMp (via ) and when these guys approach you they indeed mean business,",Twitter for Android,1,1,0,0,,"Bolton, England",
154,2015-09-14 13:05:05+00:00,solidariteit,The most stolen car in South Africa... http://t.co/LZsrRub4aE via @Fin24,Twitter Web Client,0,1,0,0,,Suid-Afrika,
155,2015-09-14 13:03:17+00:00,pretoriuslhl,The most stolen car in South Africa... http://t.co/5WjGr8MqSC via @Fin24,Twitter Web Client,0,0,0,0,,Around the World,
156,2015-09-14 12:10:35+00:00,virgo4africa,The most stolen car in South Africa - http://t.co/QZIf74MkDn http://t.co/HknlowMvHN,Facebook,0,0,0,0,,South Africa,
157,2015-09-14 11:09:30+00:00,Radio702,What's the most stolen car in South Africa? @Azania_ checks out the list. Call 011 883 0702 or email azania@702.co.za,TweetDeck,1,1,9,0,,"Gauteng, South Africa",
158,2015-09-14 11:07:22+00:00,MSNSouthAfrica,The most stolen car in South Africa... - http://t.co/AZLKc0lYLk,Twitter Web Client,0,0,0,0,,"Cape Town, South Africa",
159,2015-09-14 10:34:32+00:00,rickcrouchpi,The most stolen car in South Africa... http://t.co/KZYuxjvonb via @Fin24 @rickcrouchassoc,Twitter Web Client,0,0,0,0,,South Africa | Worldwide,
160,2015-09-14 10:00:02+00:00,KDS7CPF,The most stolen car in South Africa... http://t.co/oUIKmuHsJw,Facebook,0,0,0,0,,Krugersdorp,
161,2015-09-14 09:24:41+00:00,N_Kwankwa,The most stolen car in South Africa... http://t.co/huQQVrplgt,Facebook,0,0,0,0,,Cape Town,
162,2015-09-14 08:48:24+00:00,News24_Business,The most stolen car in South Africa is...Do you agree with the list? We'll compile our own list based on user feedback: Editor@fin24.com,Twitter Web Client,0,2,0,0,,"Cape Town, Johannesburg",
163,2015-09-14 07:01:29+00:00,AugustduPreez1,The most stolen car in South Africa... http://t.co/guROBYVRmp via @Fin24 ---- Een  Elke 9 minute!! gaan kyk of joune nog daar is!,Twitter Web Client,0,0,0,0,,Trafalgar KZN,
164,2015-09-14 06:41:00+00:00,saidcetinkaya,The most stolen car in South Africa... http://t.co/1PVhr6vvS5,Twitter for Android,0,0,0,0,,South Africa,
165,2015-09-14 04:49:13+00:00,slang777,The most stolen car in South Africa... http://t.co/yPPBnDmN5T,Twitter Web Client,0,0,0,0,,South Africa,
166,2015-09-14 04:04:45+00:00,ChibutaMatanga,The most stolen car in South Africa... http://t.co/RQXWJyFbMH,Twitter Web Client,0,0,0,0,,"Khartoum, Sudan ",
167,2015-09-14 04:01:58+00:00,Sbuwise,http://t.co/djhleJNMcr The most stolen car in South Africa... (via @News24),Twitter for Android,0,0,0,0,,"Durban,South Africa.ZA","Coordinates(longitude=30.9119502, latitude=-29.7230138)"
168,2015-09-13 22:11:55+00:00,Daniel_Mulaudzi,The most stolen car in South Africa... http://t.co/d1ofwc7xr3 (via ),Twitter for Android,0,0,0,0,,South Africa,
169,2015-09-13 22:05:28+00:00,SAcrimefighters,The most stolen car in South Africa is T.. http://t.co/tB2q3cFH6j,Twitter for Android,1,8,0,0,,South Africa,
170,2015-09-13 18:14:19+00:00,ImaPeter,The most stolen car in South Africa...*SO glad I don't drive any of those makes* http://t.co/89mNaFH5wT via @Fin24,Twitter Web Client,0,0,0,0,,South Africa ,
171,2015-09-13 17:30:58+00:00,djthabithabs,Stoep News: What do you think is the most stolen car in south Africa?? #Stope992,Twitter for BlackBerry®,0,0,2,0,,Tembisa,
172,2015-09-13 16:55:33+00:00,kristal_mopt,"The polo ""@Yfm: Stoep News: What do you think is the most stolen car in south Africa?? #Stope992 http://t.co/gZKLh3H6wo""",Twitter for BlackBerry®,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/COzAauXU8AAPgiz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/COzAauXU8AAPgiz?format=jpg&name=large')]",3rd world,
173,2015-09-13 16:54:16+00:00,Brinomash,Polo RT @Yfm: Stoep News: What do you think is the most stolen car in south Africa??  #Stope992 http://t.co/oYz5qoCzf6,Echofon,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/COzAauXU8AAPgiz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/COzAauXU8AAPgiz?format=jpg&name=large')]",South Africa,
174,2015-09-13 16:34:21+00:00,Yfm,Stoep News: What do you think is the most stolen car in south Africa??  #Stope992 http://t.co/OJ6aBRhhfA,Sprout Social,1,3,27,0,"[Photo(previewUrl='https://pbs.twimg.com/media/COzAauXU8AAPgiz?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/COzAauXU8AAPgiz?format=jpg&name=large')]",Gauteng,
175,2015-09-13 16:15:21+00:00,kotze_louis,The most stolen car in South Africa... http://t.co/i7gfiTnCnY http://t.co/WOdpedVj2Z,iOS,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/COy8Ei9WoAAWLGn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/COy8Ei9WoAAWLGn?format=jpg&name=large')]",South Africa,
176,2015-09-13 16:10:24+00:00,Mshula,The most stolen car in South Africa...... http://t.co/u2bCVs1lWr,Facebook,0,0,0,0,,"IBhayi, Gqeberha",
177,2015-09-13 13:01:34+00:00,andirabintang94,#KCA #VoteJKT48ID ernieball40: The most stolen car in South Africa...,IFTTT,0,0,0,0,,,
178,2015-09-13 13:00:18+00:00,ernieball40,The most stolen car in South Africa... http://t.co/defSsLka77,Facebook,0,0,0,0,,Bellville,
179,2015-09-13 12:31:36+00:00,izeman,The most stolen car in South Africa... http://t.co/smorLlWOJI,Facebook,0,0,0,0,,"Simon's Town, South Africa",
180,2015-09-13 11:38:19+00:00,BertusLaas,"The most stolen car in South Africa... http://t.co/R3lIDEEv6n via @Fin24 ""My car is no 3 on the list, not cool""",Twitter Web Client,0,0,0,0,,"Malmesbury, South Africa",
181,2015-09-13 11:04:29+00:00,JoburgRSA,The most stolen car in South Africa... http://t.co/VHdlkSiDmu http://t.co/H5zdjMxwls,iOS,0,2,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/COx06y0WwAA9E-Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/COx06y0WwAA9E-Y?format=jpg&name=large')]",Johannesburg SA,
182,2015-09-13 09:47:25+00:00,SperaDidiza,The most stolen car in South Africa... http://t.co/8jsSufPlFu,Facebook,0,0,0,0,,South Africa,
183,2015-09-13 09:44:15+00:00,Kaycee_Rossouw,Algoa FM | The most stolen car in South Africa... http://t.co/tJY63t5T7f,Twitter Web Client,0,0,0,0,,,
184,2015-09-13 09:32:29+00:00,DigitalICT2,#digitalict #UntilEternity http://t.co/4yjoYpdVuf | The most stolen car in South Africa... http://t.co/LXzcnnZfZX,Hootsuite,0,0,0,0,,Durban,
185,2015-09-13 09:31:02+00:00,andirabintang94,#KCA #VoteJKT48ID ZABulletin:  | The most stolen car in South Africa... |,IFTTT,0,0,0,0,,,
186,2015-09-13 09:26:09+00:00,N_H_Africa,http://t.co/IvtZUzg3yp | The most stolen car in South Africa... http://t.co/jDph6BjAZj,IFTTT,0,0,0,0,,,
187,2015-09-13 09:17:31+00:00,MGontest,añsjkdhfñakjshdnf ñ http://t.co/YtTKhKU7q5 | The most stolen car in South Africa... http://t.co/Doh9Oat4Uf,Hootsuite,0,0,0,0,,,
188,2015-09-13 09:15:15+00:00,News24_Business,The most stolen car in South Africa... http://t.co/t8zSCqxZJn,Fin24Tweeter,3,7,0,0,,"Cape Town, Johannesburg",
189,2015-08-27 08:57:18+00:00,MisturrZik,"South Africa Police Recover Stolen Car 22 Years After  
SEE DETAILS HERE&gt;&gt; http://t.co/AgbZMnCpOF http://t.co/szlmpZHi8L",Facebook,0,0,0,0,,worldwide,
190,2015-08-26 13:20:27+00:00,chatter_ng,"SOUTH AFRiCA: Man Finds His Stolen Car After 22 Years, Decides To Give It Away http://t.co/gXWsZ3hm0t",ChatterNg,0,0,0,0,,Nigeria,"Coordinates(longitude=7.003183, latitude=4.828516)"
191,2015-08-26 12:59:37+00:00,Naijawhatsup,"SOUTH AFRiCA: Man Finds His Stolen Car After 22 Years, Decides To Give It Away http://t.co/ehcqUCDnLx",twitterfeed,0,0,0,0,,Nigeria,
192,2015-08-07 21:56:03+00:00,SadzaWithChips,👀😂“@ReutersAfrica: In other news: Stolen car returned to South African owner after 22 years  #SouthAfrica  http://t.co/xJqgEkFhSn”,Twitter for iPad,0,1,0,0,,,
193,2015-08-07 03:15:16+00:00,gistpunch,South Africa Police Recover Stolen Car 22 Years After http://t.co/1uuGK2YyLg,IFTTT,0,0,0,0,,Lagos,
194,2015-08-06 22:50:49+00:00,AfriCentricNews,'I Was Just Doing My Job' - Cop Who Found Stolen Car 22 Years Later #Headlines #South-Africa http://t.co/TfabdE2Sft,AfriCentric News,0,0,0,0,,,
195,2015-08-06 17:14:00+00:00,757Live,#South Africa police 'recover stolen car 22 years ago' - BBC News http://t.co/PgqtlUzSzC,IFTTT,0,0,0,0,,Breaking News,
196,2015-08-06 14:17:56+00:00,sebberigi,"South Africa police 'recover stolen car 22 years ago' - http://t.co/01Dg20RI82
Jag älskar lyckliga slut.",Twitter for Android,0,0,0,0,,,"Coordinates(longitude=17.7601322, latitude=59.2271383)"
197,2015-08-06 13:47:55+00:00,sanjeev911,South Africa police 'recover stolen car 22 years ago' adangoppanthamarabharaniaaathla.... http://t.co/RejuXLzX67,iOS,0,0,0,0,,"Esslingen am Neckar, Germany",
198,2015-08-06 13:13:13+00:00,cheetahsoul,South Africa police 'recover stolen car 22 years ago' http://t.co/rj5NXzrnDH,iOS,1,1,1,0,,Somewhere,
199,2015-08-06 13:11:23+00:00,Cods27,South Africa police 'recover stolen car 22 years ago' http://t.co/jSYuLPKwLv,Flipboard,0,0,0,0,,"Johannesburg, South Africa",
200,2015-08-06 11:53:48+00:00,Maryca26,South Africa police 'recover stolen car 22 years ago' http://t.co/1qZrFKJHhz,iOS,0,0,0,0,,            MÉXICO,
201,2015-08-06 11:04:29+00:00,MisturrZik,"South Africa Police Recover Stolen Car 22 Years After  
SEE DETAILS HERE&gt;&gt; http://t.co/LbWtYglI2f http://t.co/eoPKRASNAG",Facebook,0,0,0,0,,worldwide,
202,2015-08-06 11:04:28+00:00,Plush_Civvies,"South Africa Police Recover Stolen Car 22 Years After  
SEE DETAILS HERE&gt;&gt; http://t.co/6fOcxqGBxo http://t.co/AkGy22onSX",Facebook,0,0,0,0,,LAGOS NIGERIA ,
203,2015-08-06 11:04:20+00:00,MisturrZik,"South Africa Police Recover Stolen Car 22 Years After  
SEE DETAILS HERE&gt;&gt; http://t.co/LbWtYglI2f http://t.co/EjE7e7Po0A",Facebook,0,0,0,0,,worldwide,
204,2015-08-06 10:11:26+00:00,infonaija,"South Africa Police Recover Stolen Car 22 Years After [PHOTO]

more details ==&gt; http://t.co/REw4C25IyW",Facebook,0,2,0,0,,Nigeria,
205,2015-08-06 09:19:48+00:00,cpii__,South Africa police 'recover stolen car 22 years ago' - http://t.co/Qu08knvS6B,Twitter for Android,0,0,0,0,,Tanzania,"Coordinates(longitude=31.9915658, latitude=-9.7188183)"
206,2015-08-06 08:34:11+00:00,YouthiMagazine,"Great work @SAPoliceService ""Stolen car returned to South African owner after 22 years"" @ReutersAfrica #SouthAfrica http://t.co/KRWwhPwLeg…""",Twitter for BlackBerry®,1,0,0,0,,"Cape Town, South Africa",
207,2015-08-06 08:06:21+00:00,ReutersAfrica,In other news: Stolen car returned to South African owner after 22 years  #SouthAfrica  http://t.co/1lxycPFAIw,Twitter Web Client,1,13,3,0,,,
208,2015-08-06 07:44:31+00:00,giapmos,South Africa police 'recover stolen car 22 years ago' http://t.co/XNez5AvWCq,iOS,0,0,0,0,,,
209,2015-08-06 06:52:54+00:00,khomo_tso,:')RT@Gawiesnr: #SAPS eventually solve a crime.....#BBC News - South Africa police 'recover stolen car 22 years ago' http://t.co/7MlBwsfPsj…,Twitter for BlackBerry®,0,0,0,0,,South Africa,
210,2015-08-06 06:26:50+00:00,YandeStudios,"South Africa police 'recover stolen car 22 years ago'

Read on http://t.co/qEMN2idTgE
#news #nigerian #blog #read https://t.co/UKHtzYzRSl",Instagram,0,0,2,0,,Nigeria,
211,2015-08-06 05:07:34+00:00,Shahzad_Khan09,South Africa police 'recover stolen car 22 years ago' - http://t.co/RCmLZ0XY2G,Twitter for Android,0,0,0,0,,Karachi,
